Actions
Ball out of play
Substitution - up
Substitution - down
Clearance
Indirect free-kick
Direct free-kick
Throw-in
Penalty
Kick-off
Goal
Offside
Shot on target
Shot off target
Foul
Corner
Red Card
Yellow Card
Yellow->red card
